,Period,Revenue,Sales_quantity,Average_cost,The_average_annual_payroll_of_the_region
74,2021-03-01,-1.0,-1.0,-1.0,-1.0
75,2021-04-01,-1.0,-1.0,-1.0,-1.0
76,2021-05-01,-1.0,-1.0,-1.0,-1.0
77,2021-06-01,-1.0,-1.0,-1.0,-1.0
78,2021-07-01,-1.0,-1.0,-1.0,-1.0
79,2021-08-01,-1.0,-1.0,-1.0,-1.0
80,2021-09-01,-1.0,-1.0,-1.0,-1.0
81,2021-10-01,-1.0,-1.0,-1.0,-1.0
82,2021-11-01,-1.0,-1.0,-1.0,-1.0
83,2021-12-01,-1.0,-1.0,-1.0,-1.0
84,2022-01-01,-1.0,-1.0,-1.0,-1.0
85,2022-02-01,-1.0,-1.0,-1.0,-1.0
86,2022-03-01,-1.0,-1.0,-1.0,-1.0
87,2022-04-01,-1.0,-1.0,-1.0,-1.0
88,2022-05-01,-1.0,-1.0,-1.0,-1.0
89,2022-06-01,-1.0,-1.0,-1.0,-1.0
90,2022-07-01,-1.0,-1.0,-1.0,-1.0
91,2022-08-01,-1.0,-1.0,-1.0,-1.0
92,2022-09-01,-1.0,-1.0,-1.0,-1.0
93,2022-10-01,-1.0,-1.0,-1.0,-1.0
94,2022-11-01,-1.0,-1.0,-1.0,-1.0
95,2022-12-01,-1.0,-1.0,-1.0,-1.0
